REV-240 | checkpoint=terminal | reverse fragment: 7352
REV-239 | checkpoint=159 | signal=nominal | relay=clear | bearing=109
REV-113 | checkpoint=269 | signal=nominal | relay=clear | bearing=163
REV-112 | checkpoint=250 | signal=nominal | relay=clear | bearing=152
REV-111 | checkpoint=231 | signal=nominal | relay=clear | bearing=141
REV-110 | checkpoint=212 | signal=nominal | relay=clear | bearing=130
REV-109 | checkpoint=193 | signal=nominal | relay=clear | bearing=119
REV-108 | checkpoint=174 | signal=nominal | relay=clear | bearing=108
REV-107 | checkpoint=155 | signal=nominal | relay=clear | bearing=097
REV-106 | checkpoint=136 | signal=nominal | relay=clear | bearing=086
REV-105 | checkpoint=117 | signal=nominal | relay=clear | bearing=075
REV-104 | checkpoint=098 | signal=nominal | relay=clear | bearing=064
REV-103 | checkpoint=079 | signal=nominal | relay=clear | bearing=053
REV-102 | checkpoint=060 | signal=nominal | relay=clear | bearing=042
REV-101 | checkpoint=041 | signal=nominal | relay=clear | bearing=031
REV-100 | checkpoint=022 | signal=nominal | relay=clear | bearing=020
REV-099 | checkpoint=003 | signal=nominal | relay=clear | bearing=009
REV-098 | checkpoint=297 | signal=nominal | relay=clear | bearing=358
REV-097 | checkpoint=278 | signal=nominal | relay=clear | bearing=347
REV-096 | checkpoint=259 | signal=nominal | relay=clear | bearing=336
REV-095 | checkpoint=240 | signal=nominal | relay=clear | bearing=325
REV-094 | checkpoint=221 | signal=nominal | relay=clear | bearing=314
REV-093 | checkpoint=202 | signal=nominal | relay=clear | bearing=303
REV-092 | checkpoint=183 | signal=nominal | relay=clear | bearing=292
REV-091 | checkpoint=164 | signal=nominal | relay=clear | bearing=281
REV-090 | checkpoint=145 | signal=nominal | relay=clear | bearing=270
REV-089 | checkpoint=126 | signal=nominal | relay=clear | bearing=259
REV-088 | checkpoint=107 | signal=nominal | relay=clear | bearing=248
REV-087 | checkpoint=088 | signal=nominal | relay=clear | bearing=237
REV-086 | checkpoint=069 | signal=nominal | relay=clear | bearing=226
REV-085 | checkpoint=050 | signal=nominal | relay=clear | bearing=215
REV-084 | checkpoint=031 | signal=nominal | relay=clear | bearing=204
REV-083 | checkpoint=012 | signal=nominal | relay=clear | bearing=193
REV-082 | checkpoint=306 | signal=nominal | relay=clear | bearing=182
REV-081 | checkpoint=287 | signal=nominal | relay=clear | bearing=171
REV-080 | checkpoint=268 | signal=nominal | relay=clear | bearing=160
REV-079 | checkpoint=249 | signal=nominal | relay=clear | bearing=149
REV-078 | checkpoint=230 | signal=nominal | relay=clear | bearing=138
REV-077 | checkpoint=211 | signal=nominal | relay=clear | bearing=127
REV-076 | checkpoint=192 | signal=nominal | relay=clear | bearing=116
REV-075 | checkpoint=173 | signal=nominal | relay=clear | bearing=105
REV-074 | checkpoint=154 | signal=nominal | relay=clear | bearing=094
REV-073 | checkpoint=135 | signal=nominal | relay=clear | bearing=083
REV-072 | checkpoint=116 | signal=nominal | relay=clear | bearing=072
REV-071 | checkpoint=097 | signal=nominal | relay=clear | bearing=061
REV-070 | checkpoint=078 | signal=nominal | relay=clear | bearing=050
REV-069 | checkpoint=059 | signal=nominal | relay=clear | bearing=039
REV-068 | checkpoint=040 | signal=nominal | relay=clear | bearing=028
REV-067 | checkpoint=021 | signal=nominal | relay=clear | bearing=017
REV-066 | checkpoint=002 | signal=nominal | relay=clear | bearing=006
REV-065 | checkpoint=296 | signal=nominal | relay=clear | bearing=355
REV-064 | checkpoint=277 | signal=nominal | relay=clear | bearing=344
REV-063 | checkpoint=258 | signal=nominal | relay=clear | bearing=333
REV-062 | checkpoint=239 | signal=nominal | relay=clear | bearing=322
REV-061 | checkpoint=220 | signal=nominal | relay=clear | bearing=311
REV-060 | checkpoint=201 | signal=nominal | relay=clear | bearing=300
REV-059 | checkpoint=182 | signal=nominal | relay=clear | bearing=289
REV-058 | checkpoint=163 | signal=nominal | relay=clear | bearing=278
REV-057 | checkpoint=144 | signal=nominal | relay=clear | bearing=267
REV-056 | checkpoint=125 | signal=nominal | relay=clear | bearing=256
REV-055 | checkpoint=106 | signal=nominal | relay=clear | bearing=245
REV-054 | checkpoint=087 | signal=nominal | relay=clear | bearing=234
REV-053 | checkpoint=068 | signal=nominal | relay=clear | bearing=223
REV-052 | checkpoint=049 | signal=nominal | relay=clear | bearing=212
REV-051 | checkpoint=030 | signal=nominal | relay=clear | bearing=201
REV-050 | checkpoint=011 | signal=nominal | relay=clear | bearing=190
REV-049 | checkpoint=305 | signal=nominal | relay=clear | bearing=179
REV-048 | checkpoint=286 | signal=nominal | relay=clear | bearing=168
REV-047 | checkpoint=267 | signal=nominal | relay=clear | bearing=157
REV-046 | checkpoint=248 | signal=nominal | relay=clear | bearing=146
REV-045 | checkpoint=229 | signal=nominal | relay=clear | bearing=135
REV-044 | checkpoint=210 | signal=nominal | relay=clear | bearing=124
REV-043 | checkpoint=191 | signal=nominal | relay=clear | bearing=113
REV-042 | checkpoint=172 | signal=nominal | relay=clear | bearing=102
REV-041 | checkpoint=153 | signal=nominal | relay=clear | bearing=091
REV-040 | checkpoint=134 | signal=nominal | relay=clear | bearing=080
REV-039 | checkpoint=115 | signal=nominal | relay=clear | bearing=069
REV-038 | checkpoint=096 | signal=nominal | relay=clear | bearing=058
REV-037 | checkpoint=077 | signal=nominal | relay=clear | bearing=047
REV-036 | checkpoint=058 | signal=nominal | relay=clear | bearing=036
REV-035 | checkpoint=039 | signal=nominal | relay=clear | bearing=025
REV-034 | checkpoint=020 | signal=nominal | relay=clear | bearing=014
REV-033 | checkpoint=001 | signal=nominal | relay=clear | bearing=003
REV-032 | checkpoint=295 | signal=nominal | relay=clear | bearing=352
REV-031 | checkpoint=276 | signal=nominal | relay=clear | bearing=341
REV-030 | checkpoint=257 | signal=nominal | relay=clear | bearing=330
REV-029 | checkpoint=238 | signal=nominal | relay=clear | bearing=319
REV-028 | checkpoint=219 | signal=nominal | relay=clear | bearing=308
REV-027 | checkpoint=200 | signal=nominal | relay=clear | bearing=297
REV-026 | checkpoint=181 | signal=nominal | relay=clear | bearing=286
REV-025 | checkpoint=162 | signal=nominal | relay=clear | bearing=275
REV-024 | checkpoint=143 | signal=nominal | relay=clear | bearing=264
REV-023 | checkpoint=124 | signal=nominal | relay=clear | bearing=253
REV-022 | checkpoint=105 | signal=nominal | relay=clear | bearing=242
REV-021 | checkpoint=086 | signal=nominal | relay=clear | bearing=231
REV-020 | checkpoint=067 | signal=nominal | relay=clear | bearing=220
REV-019 | checkpoint=048 | signal=nominal | relay=clear | bearing=209
REV-018 | checkpoint=029 | signal=nominal | relay=clear | bearing=198
REV-017 | checkpoint=010 | signal=nominal | relay=clear | bearing=187
REV-016 | checkpoint=304 | signal=nominal | relay=clear | bearing=176
REV-015 | checkpoint=285 | signal=nominal | relay=clear | bearing=165
REV-014 | checkpoint=266 | signal=nominal | relay=clear | bearing=154
REV-013 | checkpoint=247 | signal=nominal | relay=clear | bearing=143
REV-012 | checkpoint=228 | signal=nominal | relay=clear | bearing=132
REV-011 | checkpoint=209 | signal=nominal | relay=clear | bearing=121
REV-010 | checkpoint=190 | signal=nominal | relay=clear | bearing=110
REV-009 | checkpoint=171 | signal=nominal | relay=clear | bearing=099
REV-008 | checkpoint=152 | signal=nominal | relay=clear | bearing=088
REV-007 | checkpoint=133 | signal=nominal | relay=clear | bearing=077
REV-006 | checkpoint=114 | signal=nominal | relay=clear | bearing=066
REV-005 | checkpoint=095 | signal=nominal | relay=clear | bearing=055
REV-004 | checkpoint=076 | signal=nominal | relay=clear | bearing=044
REV-003 | checkpoint=057 | signal=nominal | relay=clear | bearing=033
REV-002 | checkpoint=038 | signal=nominal | relay=clear | bearing=022
REV-001 | checkpoint=019 | signal=nominal | relay=clear | bearing=011
