FWD-001 | checkpoint=017 | signal=nominal | relay=clear | bearing=007
FWD-048 | checkpoint=194 | signal=nominal | relay=clear | bearing=336
FWD-049 | checkpoint=211 | signal=nominal | relay=clear | bearing=343
FWD-050 | checkpoint=228 | signal=nominal | relay=clear | bearing=350
FWD-051 | checkpoint=245 | signal=nominal | relay=clear | bearing=357
FWD-052 | checkpoint=262 | signal=nominal | relay=clear | bearing=004
FWD-053 | checkpoint=279 | signal=nominal | relay=clear | bearing=011
FWD-054 | checkpoint=296 | signal=nominal | relay=clear | bearing=018
FWD-055 | checkpoint=002 | signal=nominal | relay=clear | bearing=025
FWD-056 | checkpoint=019 | signal=nominal | relay=clear | bearing=032
FWD-057 | checkpoint=036 | signal=nominal | relay=clear | bearing=039
FWD-058 | checkpoint=053 | signal=nominal | relay=clear | bearing=046
FWD-059 | checkpoint=070 | signal=nominal | relay=clear | bearing=053
FWD-060 | checkpoint=087 | signal=nominal | relay=clear | bearing=060
FWD-061 | checkpoint=104 | signal=nominal | relay=clear | bearing=067
FWD-062 | checkpoint=121 | signal=nominal | relay=clear | bearing=074
FWD-063 | checkpoint=138 | signal=nominal | relay=clear | bearing=081
FWD-064 | checkpoint=155 | signal=nominal | relay=clear | bearing=088
FWD-065 | checkpoint=172 | signal=nominal | relay=clear | bearing=095
FWD-066 | checkpoint=189 | signal=nominal | relay=clear | bearing=102
FWD-067 | checkpoint=206 | signal=nominal | relay=clear | bearing=109
FWD-068 | checkpoint=223 | signal=nominal | relay=clear | bearing=116
FWD-069 | checkpoint=240 | signal=nominal | relay=clear | bearing=123
FWD-070 | checkpoint=257 | signal=nominal | relay=clear | bearing=130
FWD-071 | checkpoint=274 | signal=nominal | relay=clear | bearing=137
FWD-072 | checkpoint=291 | signal=nominal | relay=clear | bearing=144
FWD-073 | checkpoint=308 | signal=nominal | relay=clear | bearing=151
FWD-074 | checkpoint=014 | signal=nominal | relay=clear | bearing=158
FWD-075 | checkpoint=031 | signal=nominal | relay=clear | bearing=165
FWD-076 | checkpoint=048 | signal=nominal | relay=clear | bearing=172
FWD-077 | checkpoint=065 | signal=nominal | relay=clear | bearing=179
FWD-078 | checkpoint=082 | signal=nominal | relay=clear | bearing=186
FWD-079 | checkpoint=099 | signal=nominal | relay=clear | bearing=193
FWD-080 | checkpoint=116 | signal=nominal | relay=clear | bearing=200
FWD-081 | checkpoint=133 | signal=nominal | relay=clear | bearing=207
FWD-082 | checkpoint=150 | signal=nominal | relay=clear | bearing=214
FWD-083 | checkpoint=167 | signal=nominal | relay=clear | bearing=221
FWD-084 | checkpoint=184 | signal=nominal | relay=clear | bearing=228
FWD-085 | checkpoint=201 | signal=nominal | relay=clear | bearing=235
FWD-086 | checkpoint=218 | signal=nominal | relay=clear | bearing=242
FWD-087 | checkpoint=235 | signal=nominal | relay=clear | bearing=249
FWD-088 | checkpoint=252 | signal=nominal | relay=clear | bearing=256
FWD-089 | checkpoint=269 | signal=nominal | relay=clear | bearing=263
FWD-090 | checkpoint=286 | signal=nominal | relay=clear | bearing=270
FWD-091 | checkpoint=303 | signal=nominal | relay=clear | bearing=277
FWD-092 | checkpoint=009 | signal=nominal | relay=clear | bearing=284
FWD-093 | checkpoint=026 | signal=nominal | relay=clear | bearing=291
FWD-094 | checkpoint=043 | signal=nominal | relay=clear | bearing=298
FWD-095 | checkpoint=060 | signal=nominal | relay=clear | bearing=305
FWD-096 | checkpoint=077 | signal=nominal | relay=clear | bearing=312
FWD-097 | checkpoint=094 | signal=nominal | relay=clear | bearing=319
FWD-098 | checkpoint=111 | signal=nominal | relay=clear | bearing=326
FWD-099 | checkpoint=128 | signal=nominal | relay=clear | bearing=333
FWD-100 | checkpoint=145 | signal=nominal | relay=clear | bearing=340
FWD-101 | checkpoint=162 | signal=nominal | relay=clear | bearing=347
FWD-102 | checkpoint=179 | signal=nominal | relay=clear | bearing=354
FWD-103 | checkpoint=196 | signal=nominal | relay=clear | bearing=001
FWD-104 | checkpoint=213 | signal=nominal | relay=clear | bearing=008
FWD-105 | checkpoint=230 | signal=nominal | relay=clear | bearing=015
FWD-106 | checkpoint=247 | signal=nominal | relay=clear | bearing=022
FWD-107 | checkpoint=264 | signal=nominal | relay=clear | bearing=029
FWD-108 | checkpoint=281 | signal=nominal | relay=clear | bearing=036
FWD-109 | checkpoint=298 | signal=nominal | relay=clear | bearing=043
FWD-110 | checkpoint=004 | signal=nominal | relay=clear | bearing=050
FWD-111 | checkpoint=021 | signal=nominal | relay=clear | bearing=057
FWD-112 | checkpoint=038 | signal=nominal | relay=clear | bearing=064
FWD-113 | checkpoint=055 | signal=nominal | relay=clear | bearing=071
FWD-114 | checkpoint=072 | signal=nominal | relay=clear | bearing=078
FWD-115 | checkpoint=089 | signal=nominal | relay=clear | bearing=085
FWD-116 | checkpoint=106 | signal=nominal | relay=clear | bearing=092
FWD-117 | checkpoint=123 | signal=nominal | relay=clear | bearing=099
FWD-118 | checkpoint=140 | signal=nominal | relay=clear | bearing=106
FWD-119 | checkpoint=157 | signal=nominal | relay=clear | bearing=113
FWD-120 | checkpoint=174 | signal=nominal | relay=clear | bearing=120
FWD-121 | checkpoint=191 | signal=nominal | relay=clear | bearing=127
FWD-122 | checkpoint=208 | signal=nominal | relay=clear | bearing=134
FWD-123 | checkpoint=225 | signal=nominal | relay=clear | bearing=141
FWD-124 | checkpoint=242 | signal=nominal | relay=clear | bearing=148
FWD-125 | checkpoint=259 | signal=nominal | relay=clear | bearing=155
FWD-126 | checkpoint=276 | signal=nominal | relay=clear | bearing=162
FWD-127 | checkpoint=293 | signal=nominal | relay=clear | bearing=169
FWD-128 | checkpoint=310 | signal=nominal | relay=clear | bearing=176
FWD-129 | checkpoint=016 | signal=nominal | relay=clear | bearing=183
FWD-130 | checkpoint=033 | signal=nominal | relay=clear | bearing=190
FWD-131 | checkpoint=050 | signal=nominal | relay=clear | bearing=197
FWD-132 | checkpoint=067 | signal=nominal | relay=clear | bearing=204
FWD-133 | checkpoint=084 | signal=nominal | relay=clear | bearing=211
FWD-134 | checkpoint=101 | signal=nominal | relay=clear | bearing=218
FWD-135 | checkpoint=118 | signal=nominal | relay=clear | bearing=225
FWD-136 | checkpoint=135 | signal=nominal | relay=clear | bearing=232
FWD-137 | checkpoint=152 | signal=nominal | relay=clear | bearing=239
FWD-138 | checkpoint=169 | signal=nominal | relay=clear | bearing=246
FWD-139 | checkpoint=186 | signal=nominal | relay=clear | bearing=253
FWD-140 | checkpoint=203 | signal=nominal | relay=clear | bearing=260
FWD-141 | checkpoint=220 | signal=nominal | relay=clear | bearing=267
FWD-142 | checkpoint=237 | signal=nominal | relay=clear | bearing=274
FWD-143 | checkpoint=254 | signal=nominal | relay=clear | bearing=281
FWD-144 | checkpoint=271 | signal=nominal | relay=clear | bearing=288
FWD-145 | checkpoint=288 | signal=nominal | relay=clear | bearing=295
FWD-146 | checkpoint=305 | signal=nominal | relay=clear | bearing=302
FWD-147 | checkpoint=011 | signal=nominal | relay=clear | bearing=309
FWD-148 | checkpoint=028 | signal=nominal | relay=clear | bearing=316
FWD-149 | checkpoint=045 | signal=nominal | relay=clear | bearing=323
FWD-150 | checkpoint=062 | signal=nominal | relay=clear | bearing=330
FWD-151 | checkpoint=079 | signal=nominal | relay=clear | bearing=337
FWD-152 | checkpoint=096 | signal=nominal | relay=clear | bearing=344
FWD-153 | checkpoint=113 | signal=nominal | relay=clear | bearing=351
FWD-154 | checkpoint=130 | signal=nominal | relay=clear | bearing=358
FWD-155 | checkpoint=147 | signal=nominal | relay=clear | bearing=005
FWD-156 | checkpoint=164 | signal=nominal | relay=clear | bearing=012
FWD-157 | checkpoint=181 | signal=nominal | relay=clear | bearing=019
FWD-158 | checkpoint=198 | signal=nominal | relay=clear | bearing=026
FWD-159 | checkpoint=215 | signal=nominal | relay=clear | bearing=033
FWD-160 | checkpoint=232 | signal=nominal | relay=clear | bearing=040
FWD-161 | checkpoint=249 | signal=nominal | relay=clear | bearing=047
FWD-162 | checkpoint=266 | signal=nominal | relay=clear | bearing=054
FWD-163 | checkpoint=283 | signal=nominal | relay=clear | bearing=061
FWD-164 | checkpoint=300 | signal=nominal | relay=clear | bearing=068
FWD-165 | checkpoint=006 | signal=nominal | relay=clear | bearing=075
FWD-166 | checkpoint=023 | signal=nominal | relay=clear | bearing=082
FWD-167 | checkpoint=040 | signal=nominal | relay=clear | bearing=089
FWD-168 | checkpoint=057 | signal=nominal | relay=clear | bearing=096
FWD-169 | checkpoint=074 | signal=nominal | relay=clear | bearing=103
FWD-170 | checkpoint=091 | signal=nominal | relay=clear | bearing=110
FWD-171 | checkpoint=108 | signal=nominal | relay=clear | bearing=117
FWD-172 | checkpoint=125 | signal=nominal | relay=clear | bearing=124
FWD-173 | checkpoint=142 | signal=nominal | relay=clear | bearing=131
FWD-174 | checkpoint=159 | signal=nominal | relay=clear | bearing=138
FWD-175 | checkpoint=176 | signal=nominal | relay=clear | bearing=145
FWD-176 | checkpoint=193 | signal=nominal | relay=clear | bearing=152
FWD-177 | checkpoint=210 | signal=nominal | relay=clear | bearing=159
FWD-178 | checkpoint=227 | signal=nominal | relay=clear | bearing=166
FWD-179 | checkpoint=244 | signal=nominal | relay=clear | bearing=173
FWD-180 | checkpoint=261 | signal=nominal | relay=clear | bearing=180
FWD-181 | checkpoint=278 | signal=nominal | relay=clear | bearing=187
FWD-182 | checkpoint=295 | signal=nominal | relay=clear | bearing=194
FWD-183 | checkpoint=001 | signal=nominal | relay=clear | bearing=201
FWD-184 | checkpoint=018 | signal=nominal | relay=clear | bearing=208
FWD-185 | checkpoint=035 | signal=nominal | relay=clear | bearing=215
FWD-186 | checkpoint=052 | signal=nominal | relay=clear | bearing=222
FWD-187 | checkpoint=069 | signal=nominal | relay=clear | bearing=229
FWD-188 | checkpoint=086 | signal=nominal | relay=clear | bearing=236
FWD-189 | checkpoint=103 | signal=nominal | relay=clear | bearing=243
FWD-190 | checkpoint=120 | signal=nominal | relay=clear | bearing=250
FWD-191 | checkpoint=137 | signal=nominal | relay=clear | bearing=257
FWD-192 | checkpoint=154 | signal=nominal | relay=clear | bearing=264
FWD-193 | checkpoint=171 | signal=nominal | relay=clear | bearing=271
FWD-194 | checkpoint=188 | signal=nominal | relay=clear | bearing=278
FWD-195 | checkpoint=205 | signal=nominal | relay=clear | bearing=285
FWD-196 | checkpoint=222 | signal=nominal | relay=clear | bearing=292
FWD-197 | checkpoint=239 | signal=nominal | relay=clear | bearing=299
FWD-198 | checkpoint=256 | signal=nominal | relay=clear | bearing=306
FWD-199 | checkpoint=273 | signal=nominal | relay=clear | bearing=313
FWD-200 | checkpoint=290 | signal=nominal | relay=clear | bearing=320
FWD-201 | checkpoint=307 | signal=nominal | relay=clear | bearing=327
FWD-202 | checkpoint=013 | signal=nominal | relay=clear | bearing=334
FWD-203 | checkpoint=030 | signal=nominal | relay=clear | bearing=341
FWD-204 | checkpoint=047 | signal=nominal | relay=clear | bearing=348
FWD-205 | checkpoint=064 | signal=nominal | relay=clear | bearing=355
FWD-206 | checkpoint=081 | signal=nominal | relay=clear | bearing=002
FWD-207 | checkpoint=098 | signal=nominal | relay=clear | bearing=009
FWD-208 | checkpoint=115 | signal=nominal | relay=clear | bearing=016
FWD-209 | checkpoint=132 | signal=nominal | relay=clear | bearing=023
FWD-210 | checkpoint=149 | signal=nominal | relay=clear | bearing=030
FWD-211 | checkpoint=166 | signal=nominal | relay=clear | bearing=037
FWD-212 | checkpoint=183 | signal=nominal | relay=clear | bearing=044
FWD-213 | checkpoint=200 | signal=nominal | relay=clear | bearing=051
FWD-214 | checkpoint=217 | signal=nominal | relay=clear | bearing=058
FWD-215 | checkpoint=234 | signal=nominal | relay=clear | bearing=065
FWD-216 | checkpoint=251 | signal=nominal | relay=clear | bearing=072
FWD-217 | checkpoint=268 | signal=nominal | relay=clear | bearing=079
FWD-218 | checkpoint=285 | signal=nominal | relay=clear | bearing=086
FWD-219 | checkpoint=302 | signal=nominal | relay=clear | bearing=093
FWD-220 | checkpoint=008 | signal=nominal | relay=clear | bearing=100
FWD-221 | checkpoint=025 | signal=nominal | relay=clear | bearing=107
FWD-222 | checkpoint=042 | signal=nominal | relay=clear | bearing=114
FWD-223 | checkpoint=059 | signal=nominal | relay=clear | bearing=121
FWD-224 | checkpoint=076 | signal=nominal | relay=clear | bearing=128
FWD-225 | checkpoint=093 | signal=nominal | relay=clear | bearing=135
FWD-226 | checkpoint=110 | signal=nominal | relay=clear | bearing=142
FWD-227 | checkpoint=127 | signal=nominal | relay=clear | bearing=149
FWD-228 | checkpoint=144 | signal=nominal | relay=clear | bearing=156
FWD-229 | checkpoint=161 | signal=nominal | relay=clear | bearing=163
FWD-230 | checkpoint=178 | signal=nominal | relay=clear | bearing=170
FWD-231 | checkpoint=195 | signal=nominal | relay=clear | bearing=177
FWD-232 | checkpoint=212 | signal=nominal | relay=clear | bearing=184
FWD-233 | checkpoint=229 | signal=nominal | relay=clear | bearing=191
FWD-234 | checkpoint=246 | signal=nominal | relay=clear | bearing=198
FWD-235 | checkpoint=263 | signal=nominal | relay=clear | bearing=205
FWD-236 | checkpoint=280 | signal=nominal | relay=clear | bearing=212
FWD-237 | checkpoint=297 | signal=nominal | relay=clear | bearing=219
FWD-238 | checkpoint=003 | signal=nominal | relay=clear | bearing=226
FWD-239 | checkpoint=020 | signal=nominal | relay=clear | bearing=233
FWD-240 | checkpoint=terminal | forward fragment: TT-LINK-
